N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
162,ACE 미국S&P500,"22,555",5,-0.02%,0,"22,645","100,400",0.11,"384,786",N/A,N/A,
163,한전KPS,"50,300",450,+0.90%,200,"22,635","45,000",11.61,"74,944",17.22,13.26,
164,TIGER 미국배당다우존스,"12,315",25,+0.20%,0,"22,358","181,550",0.06,"730,686",N/A,N/A,
165,한국앤컴퍼니,"23,450",450,-1.88%,500,"22,262","94,935",9.81,"41,016",7.42,8.28,
166,iM금융지주,"13,690",140,-1.01%,"5,000","22,185","162,055",44.66,"148,150",8.98,3.60,
167,SK아이이테크놀로지,"27,050",100,+0.37%,"1,000","22,123","81,787",5.71,"43,003",-10.91,-10.41,
168,아모레퍼시픽홀딩스,"26,900",250,-0.92%,500,"21,374","79,458",11.34,"61,888",24.57,7.57,
169,코리안리,"10,940",20,-0.18%,500,"21,313","194,821",26.52,"59,951",6.02,9.45,
170,달바글로벌,"172,300","2,200",-1.26%,100,"21,169","12,286",9.62,"99,947",29.58,26.21,
171,KODEX 레버리지,"24,430",480,+2.00%,0,"21,046","86,150",0.62,"12,955,090",N/A,N/A,
172,SNT다이내믹스,"62,300","1,200",-1.89%,"2,500","20,716","33,253",7.43,"51,515",25.26,12.90,
173,팬오션,"3,875",20,-0.51%,"1,000","20,715","534,570",16.27,"236,853",7.07,5.17,
174,TIGER 머니마켓액티브,"101,100",10,+0.01%,0,"20,409","20,187",0.00,"105,566",N/A,N/A,
175,이마트,"71,600",100,+0.14%,"5,000","19,759","27,596",22.87,"61,627",-4.40,-5.40,
176,DB하이텍,"44,300",0,0.00%,"5,000","19,669","44,399",28.88,"45,893",8.68,12.44,
177,BGF리테일,"113,400","1,600",-1.39%,"1,000","19,600","17,284",28.64,"14,970",10.92,17.29,
178,아시아나항공,"9,410",10,+0.11%,"5,000","19,384","205,991",2.88,"19,393",9.23,-53.21,
179,CJ대한통운,"82,400",300,-0.36%,"5,000","18,797","22,812",14.03,"19,274",7.99,6.58,
180,파라다이스,"20,050",600,-2.91%,500,"18,481","92,175",11.62,"791,974",21.13,4.97,
181,동원산업,"41,850",850,-1.99%,"1,000","18,476","44,148",5.00,"18,599",14.17,2.74,
182,롯데쇼핑,"65,200","1,100",-1.66%,"5,000","18,444","28,289",8.95,"56,520",-1.92,-7.75,
183,한솔케미칼,"162,700","3,200",+2.01%,"5,000","18,442","11,335",35.96,"28,065",13.18,13.48,
184,호텔신라,"45,700",750,-1.61%,"5,000","17,936","39,248",12.52,"112,733",-19.36,-6.50,
185,한국콜마,"75,300",600,-0.79%,500,"17,775","23,605",38.52,"164,989",18.31,12.50,
186,영원무역홀딩스,"131,400","1,500",-1.13%,500,"17,738","13,499",21.30,"7,826",6.63,13.17,
187,엠앤씨솔루션,"193,400",400,+0.21%,100,"17,704","9,154",8.08,"15,192",44.10,21.82,
188,씨에스윈드,"41,450",100,+0.24%,500,"17,480","42,171",12.88,"72,956",8.42,13.92,
189,STX엔진,"43,500",350,-0.80%,"2,500","17,464","40,148",6.90,"1,801,574",27.38,10.15,
190,HJ중공업,"20,950",300,-1.41%,"5,000","17,446","83,274",3.09,"27,384,894",55.57,1.56,
191,KODEX 코스닥150레버리지,"8,655",105,+1.23%,0,"17,232","199,100",0.21,"10,660,135",N/A,N/A,
192,TIGER 25-10 회사채(A+이상)액티브,"55,342",2,0.00%,0,"17,152","30,992",0.17,"40,681",N/A,N/A,
193,두산퓨얼셀,"26,150",50,+0.19%,100,"17,127","65,494",10.94,"872,590",-94.75,N/A,
194,ACE 미국나스닥100,"24,830",25,+0.10%,0,"17,033","68,600",0.24,"254,845",N/A,N/A,
195,TIGER 차이나전기차SOLACTIVE,"10,730",55,-0.51%,0,"16,932","157,800",0.87,"1,085,739",N/A,N/A,
196,일진전기,"35,350",150,-0.42%,"1,000","16,857","47,685",10.55,"282,924",25.52,10.60,
197,KODEX 200선물인버스2X,"1,326",24,-1.78%,0,"16,836","1,269,700",2.19,"279,871,873",N/A,N/A,
198,한국카본,"32,250",150,+0.47%,500,"16,740","51,908",11.89,"232,103",26.63,4.38,
199,HL만도,"35,100",550,-1.54%,"1,000","16,482","46,957",23.77,"79,965",90.23,5.47,
200,OCI홀딩스,"86,700",700,+0.81%,"5,000","16,313","18,815",16.82,"34,259",-9.61,2.54,
